2.2816,0.9441,0.7596,1.2079,1.2079,16.8209,4.5329,4
2.3767,0.9403,0.7418,1.268,1.268,16.8209,4.5899,4
2.4707,0.9378,0.7231,1.3269,1.3269,16.8209,4.6443,4
1.7891,0.9833,0.827,0.9751,0.8164,18.9566,4.2149,3
1.8746,0.9753,0.8161,0.9443,0.9443,18.9566,4.2717,4
1.9755,0.9665,0.8027,1.0098,1.0098,18.9566,4.3379,4
2.0754,0.9584,0.7885,1.0751,1.0751,18.9566,4.4029,4
2.1748,0.9512,0.7734,1.1395,1.1395,18.9566,4.4029,4
2.2733,0.9449,0.7574,1.2026,1.2026,18.9566,4.5283,4
2.3706,0.9398,0.7404,1.2644,1.2644,18.9655,4.5881,4
2.4672,0.936,0.7226,1.3251,1.3251,18.9655,4.6457,4
2.5628,0.9334,0.7038,1.3846,1.3846,18.9655,4.7006,4
1.8709,0.98,0.8082,0.942,0.942,21.0998,4.2657,4
1.9577,0.9718,0.7972,0.9982,0.9982,21.0998,4.3234,4
2.0596,0.9628,0.7837,1.0646,1.0646,21.0998,4.3904,4
2.161,0.9545,0.7694,1.1304,1.1304,21.0998,4.4563,4
2.2617,0.9471,0.7542,1.1952,1.1952,21.0998,4.5206,4
2.3614,0.9407,0.7381,1.2586,1.2586,21.0998,4.5832,4
2.4603,0.9355,0.7212,1.321,1.321,21.0998,4.6437,4
2.5584,0.9315,0.7033,1.3823,1.3823,21.0998,4.7018,4
2.6557,0.9289,0.6844,1.4425,1.4425,21.0998,4.7574,4
2.6557,0.9289,0.6844,1.4425,1.4425,21.0998,4.7574,4
